dataset,mode,l,pattern_set,n_patterns,matched,occurrences,load_ms,query_total_ms,per_pattern_ms
covid294,linear,3,real,200,200,1950,42,16743,83.7150
covid294,linear,3,decoy,200,119,902,29,17574,87.8700
covid294,linear,3,negative,200,0,0,4,1076,5.3800
covid294,linear,5,real,200,200,2522,0,918,4.5900
covid294,linear,5,decoy,200,104,724,12,2428,12.1400
covid294,linear,5,negative,200,0,0,9,55,0.2750
covid294,linear,9,real,200,200,2580,8,16,0.0800
covid294,linear,9,decoy,200,75,552,9,611,3.0550
covid294,linear,9,negative,200,0,0,6,0,0.0000
covid294,linear,11,real,200,200,2352,8,12,0.0600
covid294,linear,11,decoy,200,67,509,12,311,1.5550
covid294,linear,11,negative,200,0,0,6,0,0.0000
covid294,linear,14,real,200,200,7116,7,12,0.0600
covid294,linear,14,decoy,200,52,308,8,184,0.9200
covid294,linear,14,negative,200,0,0,5,1,0.0050
covid294,linear,19,real,200,200,13679,6,16,0.0800
covid294,linear,19,decoy,200,40,235,9,141,0.7050
covid294,linear,19,negative,200,0,0,5,1,0.0050
covid294,linear,29,real,200,200,20391,11,14,0.0700
covid294,linear,29,decoy,200,24,270,7,2,0.0100
covid294,linear,29,negative,200,0,0,6,1,0.0050
covid294,linear,39,real,200,200,65723,12,34,0.1700
covid294,linear,39,decoy,200,13,54,11,2,0.0100
covid294,linear,39,negative,200,0,0,10,0,0.0000
covid294,linear,59,real,200,200,31388,13,31,0.1550
covid294,linear,59,decoy,200,0,0,13,2,0.0100
covid294,linear,59,negative,200,0,0,14,0,0.0000
covid294,cartesian,3,real,200,200,2693,0,22134,110.6700
covid294,cartesian,3,decoy,200,149,2595,50,29411,147.0550
covid294,cartesian,3,negative,200,0,0,17,1385,6.9250
covid294,cartesian,5,real,200,200,4219,22,1783,8.9150
covid294,cartesian,5,decoy,200,149,3329,0,15928,79.6400
covid294,cartesian,5,negative,200,0,0,8,112,0.5600
covid294,cartesian,9,real,200,200,7270,13,128,0.6400
covid294,cartesian,9,decoy,200,149,27221,23,8783,43.9150
covid294,cartesian,9,negative,200,0,0,12,0,0.0000
covid294,cartesian,11,real,200,200,7785,14,112,0.5600
covid294,cartesian,11,decoy,200,149,58542,0,9737,48.6850
covid294,cartesian,11,negative,200,0,0,15,0,0.0000
covid294,cartesian,14,real,200,200,398702,42,4395,21.9750
covid294,cartesian,14,decoy,200,149,144320,146,24994,124.9700
covid294,cartesian,14,negative,200,0,0,49,0,0.0000
