dataset,mode,l,l_over_ctx,leds_bytes,merge_peak_kb,merge_secs,merge_status,index_bytes,index_ri_bytes,index_ci_bytes,index_build_secs,index_peak_kb,index_status
covid294,linear,3,0.159,1007980,5400,0.01,ok,852092,9672,571952,0.06,10448,ok
covid294,linear,5,0.265,1017916,6164,0.01,ok,867325,9415,583075,0.07,10412,ok
covid294,linear,9,0.477,1038763,6460,0.01,ok,905169,9111,611979,0.07,10440,ok
covid294,linear,11,0.584,1055233,6560,0.01,ok,925452,8895,626393,0.07,10792,ok
covid294,linear,14,0.743,1085784,6708,0.01,ok,960802,8647,651275,0.07,10868,ok
covid294,linear,19,1.008,1246371,6948,0.01,ok,1103325,8079,749590,0.08,12024,ok
covid294,linear,29,1.538,1483002,7484,0.02,ok,1322437,6829,901112,0.10,13444,ok
covid294,linear,39,2.069,2515765,8364,0.02,ok,2179446,5892,1495446,0.16,19080,ok
covid294,linear,59,3.130,3842268,9748,0.04,ok,3255829,4602,2233488,0.25,25828,ok
covid294,cartesian,3,0.159,1333968,5800,0.01,ok,1137034,9672,771578,0.08,11976,ok
covid294,cartesian,5,0.265,1983305,5756,0.01,ok,1683749,9415,1142483,0.12,15652,ok
covid294,cartesian,9,0.477,5569375,7648,0.02,ok,4932983,9111,3390300,0.34,36356,ok
covid294,cartesian,11,0.584,7229427,8384,0.03,ok,6493159,8895,4465135,0.48,45976,ok
covid294,cartesian,14,0.743,29821840,36256,0.12,ok,26429429,8647,18247728,3.03,173160,ok
covid294,cartesian,19,,0,7021016,6.50,oom_or_error,0,0,0,0,0,skipped
covid294,cartesian,29,,0,5887120,6.38,oom_or_error,0,0,0,0,0,skipped
covid294,cartesian,39,,0,5947048,6.67,oom_or_error,0,0,0,0,0,skipped
covid294,cartesian,59,,0,4728476,4.66,oom_or_error,0,0,0,0,0,skipped
